site_id,project,location_type,stations,date_installation,latitude_installation,longitude_installation,altitude_installation,date_last_valid,latitude_last_valid,longitude_last_valid,altitude_last_valid
CEN,GC-Net,ice sheet,CEN2 CEN1 GITS,1995-06-07,77.1378,-61.0411,1872.01,2025-09-11,77.18193,-61.115979,1889.03
CP1,GC-Net,ice sheet,CP1 CrawfordPoint1,1995-05-23,69.881216,-46.977476,1959.76,2025-09-11,69.870865,-47.046555,1950.45
DY2,GC-Net,ice sheet,DY2 DYE-2,1996-05-24,66.479419,-46.277815,2114.92,2025-09-11,66.482672,-46.295323,2126.0
EGP,GC-Net,ice sheet,EGP EastGRIP,2014-05-17,75.583291,-35.992863,2663.5,2025-09-11,75.628128,-35.966833,2668.8
FRE,Glaciobasis,local glacier,FRE,2021-07-27,74.387917,-20.832837,685.75,2025-09-11,74.388111,-20.83335,683.89
HUM,GC-Net,ice sheet,HUM Humboldt,1995-06-22,78.525542,-56.830847,1973.73,2025-09-11,78.529186,-56.845828,1967.57
JAR,GC-Net,ice sheet,JAR_O JAR JAR1,1996-06-19,69.498586,-49.682,932.21,2025-09-11,69.493879,-49.675103,929.43
KAN_B,PROMICE,tundra,KAN_B,2011-04-13,67.13,-50.18,350.0,2025-09-11,67.13,-50.18,350.0
KAN_L,PROMICE,ice sheet,KAN_Lv3 KAN_L,2008-09-01,67.097322,-49.931817,678.73,2025-09-11,67.104597,-49.935445,685.05
KAN_M,PROMICE,ice sheet,KAN_M,2008-09-02,67.065724,-48.816434,1271.5,2025-09-11,67.068514,-48.856653,1264.8
KAN_T,PROMICE,ice sheet,KAN_Tv3,2024-05-18,67.150856,-50.035069,502.88,2025-09-11,67.15097,-50.035256,501.7
KAN_U,PROMICE,ice sheet,KAN_U,2009-04-04,67.000159,-47.016845,1845.17,2025-09-11,67.000822,-47.036928,1849.67
KPC_L,PROMICE,ice sheet,KPC_L,2008-07-17,79.911,-24.085599,376.86,2025-09-11,79.910767,-24.079818,358.81
KPC_U,PROMICE,ice sheet,KPC_U,2008-07-17,79.833905,-25.170461,867.13,2025-09-11,79.83526,-25.160558,867.84
LYN_L,GlacioBasis,local glacier,LYN_L,2021-09-01,69.318918,-53.543892,536.92,2025-09-11,69.318949,-53.543587,538.44
LYN_T,GlacioBasis,local glacier,LYN_T,2021-09-01,69.304271,-53.590203,940.13,2024-04-19,69.304269,-53.590195,943.75
MIT,PROMICE,local glacier,MIT,2009-05-04,65.692565,-37.825559,465.42,2025-09-11,65.691868,-37.830349,425.43
NAE,GC-Net,ice sheet,NAE NASA-E,1997-05-03,74.999995,-30.000935,2622.7,2025-09-11,75.002722,-29.977907,2626.76
NAU,GC-Net,ice sheet,NAU NASA-U,1995-05-31,73.842035,-49.492071,2337.92,2025-09-11,73.840488,-49.537152,2336.8
NEM,GC-Net,ice sheet,NEM NEEM,2006-03-29,77.4413,-51.0999,2460.0,2025-09-11,77.44145,-51.084495,2456.52
NSE,GC-Net,ice sheet,NSE NASA-SE,1998-04-24,66.479796,-42.500533,2372.07,2025-09-11,66.47738,-42.492463,2385.96
NUK_B,PROMICE,tundra,NUK_B,2023-10-03,64.461424,-50.152703,110.31,2025-08-20,64.461477,-50.152847,107.26
NUK_K,GlacioBasis,local glacier,NUK_K,2014-07-28,64.162257,-51.358674,713.02,2025-09-11,64.162297,-51.358653,700.29
NUK_L,PROMICE,ice sheet,NUK_Lv3 NUK_L,2007-08-20,64.481722,-49.521597,585.05,2025-09-11,64.483218,-49.524135,559.03
NUK_N,PROMICE,ice sheet,NUK_N,2010-07-25,64.945811,-49.883669,927.92,2014-07-25,64.945235,-49.884955,919.01
NUK_P,PREMAS-PROMICE,tundra,NUK_P,2024-11-06,64.191092,-51.694092,51.28,2025-03-24,64.191078,-51.694094,53.79
NUK_U,PROMICE,ice sheet,NUK_Uv3 NUK_U,2007-08-20,64.498747,-49.258602,1148.08,2025-09-11,64.508462,-49.290018,1111.4
ORO,PROMICE,not Greenland,ORO,2024-11-15,56.127573,10.192964,50.08,2025-09-11,56.127572,10.192962,51.19
QAS_A,PROMICE,ice sheet,QAS_A,2012-08-20,61.245371,-46.733793,1019.34,2015-08-24,61.243078,-46.732765,1003.79
QAS_L,PROMICE,ice sheet,QAS_Lv3 QAS_L,2007-08-24,61.024203,-46.872458,280.79,2025-09-11,61.030587,-46.849637,230.34
QAS_M,PROMICE,ice sheet,QAS_Mv3 QAS_M,2016-08-11,61.099871,-46.833062,625.72,2025-09-11,61.109447,-46.808473,672.1
QAS_U,PROMICE,ice sheet,QAS_Uv3 QAS_U,2008-08-07,61.178935,-46.816204,908.53,2025-09-11,61.171452,-46.823346,880.68
RED_L,LATTICE,ice sheet,RED_Lv3,2024-08-11,76.925667,-66.964917,769.35,2025-09-11,76.925619,-66.964712,769.57
SCO_L,PROMICE,ice sheet,SCO_Lv3 SCO_L,2008-07-22,72.229163,-26.816532,473.81,2025-09-11,72.215658,-26.816309,437.63
SCO_U,PROMICE,ice sheet,SCO_Uv3 SCO_U,2008-07-21,72.394385,-27.264289,993.87,2025-09-11,72.391516,-27.206565,969.13
SDL,GC-Net,ice sheet,SDL Saddle,1997-04-20,65.9999,-44.5026,2451.0,2025-09-11,66.000227,-44.502869,2474.59
SDM,GC-Net,ice sheet,SDM SouthDome,1997-04-23,63.1489,-44.8175,2878.0,2025-09-11,63.148918,-44.817396,2897.25
SER_B,Mittivakkat,bedrock,SER_B,2024-07-14,65.67972,-37.917359,29.05,2025-09-11,65.679716,-37.917364,27.42
SWC,GC-Net,ice sheet,SWC_O SWC SwissCamp SwissCamp10m,1990-06-01,69.574212,-49.29431,1155.42,2025-09-11,69.593339,-49.286628,1154.36
TAS_A,PROMICE,ice sheet,TAS_Av3 TAS_A,2013-08-28,65.780905,-38.903296,896.73,2025-09-11,65.77315,-38.888421,877.29
TAS_L,PROMICE,ice sheet,TAS_L,2007-08-23,65.641698,-38.898061,273.94,2025-09-11,65.638947,-38.899309,226.81
TAS_U,PROMICE,ice sheet,TAS_U,2008-03-11,65.701227,-38.865976,572.92,2015-08-13,65.697851,-38.866813,569.21
THU_L,PROMICE,ice sheet,THU_L,2010-08-09,76.39984,-68.265312,577.15,2025-08-26,76.399863,-68.267785,561.72
THU_L2,PROMICE,ice sheet,THU_L2,2022-05-16,76.393023,-68.265013,573.62,2025-07-28,76.393039,-68.265372,572.64
THU_U,PROMICE,ice sheet,THU_U2v3 THU_U2 THU_U,2010-08-09,76.419623,-68.144869,764.61,2025-09-11,76.390095,-68.110928,745.88
TUN,GC-Net,ice sheet,TUN Tunu-N,1996-05-16,78.015985,-33.988913,2074.08,2025-09-11,78.019495,-33.959625,2078.91
UPE_L,PROMICE,ice sheet,UPE_L,2009-08-17,72.893219,-54.295084,229.31,2025-09-11,72.893374,-54.295924,198.44
UPE_U,PROMICE,ice sheet,UPE_U,2009-08-18,72.891274,-53.535554,977.88,2025-09-11,72.884643,-53.627595,909.42
UWN,UWN,not Greenland,UWN,2020-04-18,61.684166,7.207564,603.52,2025-09-11,61.686907,7.193435,542.13
WEG_B,Wegener,tundra,WEG_B,2022-06-29,71.141463,-51.222047,14.82,2025-09-11,71.141456,-51.222049,14.97
WEG_L,Wegener,ice sheet,WEG_L,2022-08-14,71.205197,-51.095527,936.99,2025-09-11,71.204673,-51.102771,931.46
ZAC_A,GlacioBasis,local glacier,ZAC_A,2023-04-22,74.647543,-21.652029,1483.42,2025-07-23,74.647503,-21.652036,1481.69
ZAC_L,GlacioBasis,local glacier,ZAC_Lv3,2022-04-20,74.624175,-21.374463,631.83,2025-09-11,74.624051,-21.374226,626.26
ZAC_U,GlacioBasis,local glacier,ZAC_Uv3,2022-04-21,74.643398,-21.462629,868.32,2025-09-11,74.643217,-21.460417,859.14
